"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.995011917E0,5.420783468E-3,1.972749148E-2,-3.537565470E-3,2.076230197E-2
2.004993917E0,6.349675345E-3,1.415853934E-2,3.797181845E-3,1.597501810E-2
2.014974917E0,2.443073194E-3,1.733135733E-2,-1.311764359E-2,2.187274850E-2
2.024956917E0,8.996098882E-3,6.933303983E-3,-9.076632857E-3,1.453911150E-2
2.034937917E0,9.998720493E-3,9.310567165E-3,1.786616743E-2,2.249135414E-2
2.044919917E0,3.758984223E-3,1.062178700E-2,-1.551383257E-2,1.917371436E-2
2.054900917E0,3.749235247E-3,-5.606748909E-4,-3.781686723E-2,3.800640168E-2
2.064882917E0,1.367392851E-2,-6.837450759E-4,1.292760909E-2,1.882994702E-2
2.074864917E0,2.185620460E-2,2.702742959E-3,-2.045297563E-2,3.005532750E-2
2.084845917E0,1.733637771E-2,-1.890231231E-3,-3.182873368E-2,3.629312957E-2
2.094827917E0,5.589412828E-3,-1.174895202E-2,3.647493124E-3,1.351235048E-2
2.104808917E0,-2.509331455E-3,-1.368077614E-2,1.262881637E-2,1.878689392E-2
2.114790917E0,-3.984456056E-3,-7.272063335E-3,-1.760888994E-2,1.946360193E-2
2.124772917E0,-3.113730272E-3,-1.193393874E-3,-9.826830626E-3,1.037719159E-2
2.134753917E0,-1.837230847E-3,-7.063669483E-3,7.686749697E-3,1.059985682E-2
2.144735917E0,-1.556131607E-2,-4.310110565E-3,2.896710634E-3,1.640495484E-2
2.154716917E0,-9.883459539E-3,4.279015255E-3,1.142955244E-2,1.570437560E-2
2.164698917E0,2.481756180E-3,4.277041820E-3,-8.479047418E-3,9.815622526E-3
2.174680917E0,2.360148941E-3,9.426680077E-3,8.010685444E-4,9.750605679E-3
2.184661917E0,4.673015949E-3,1.139692680E-2,2.220655560E-2,2.539405699E-2
2.194643917E0,1.422213581E-2,5.364212799E-3,-1.311998248E-2,2.007928948E-2
2.204624917E0,1.673466839E-2,2.070170157E-2,-2.120434284E-2,3.403283310E-2
2.214606917E0,1.530088885E-2,1.115612201E-2,3.747363567E-2,4.198630287E-2
2.224588917E0,1.871924535E-2,-6.069227122E-3,7.236514091E-3,2.096694543E-2
2.234569917E0,1.083856224E-2,1.028719379E-2,2.235449016E-2,2.688910593E-2
2.244551917E0,7.210270714E-3,1.338466035E-2,2.998803020E-2,3.362170566E-2
2.254532917E0,5.044342694E-3,2.314433022E-3,8.283165693E-3,9.970598143E-3
2.264514917E0,4.507960015E-3,1.511088632E-2,2.654460490E-2,3.087517835E-2
2.274495917E0,-5.674530072E-4,1.699763663E-2,1.142545938E-2,2.048860113E-2
2.284477917E0,-2.776642857E-3,2.026198638E-2,-9.082480073E-3,2.237742796E-2
2.294459917E0,8.620173451E-4,6.820420744E-3,-2.150664389E-2,2.257868341E-2
