"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.385083250E0,-9.774673462E-2,1.405577087E-1,9.792037354E0,9.793533909E0
2.395064250E0,-9.250762939E-2,1.372645569E-1,9.791887665E0,9.793286642E0
2.405045250E0,-9.041198730E-2,1.342707825E-1,9.805209961E0,9.806546046E0
2.415027250E0,-9.400451660E-2,1.462458801E-1,9.793983307E0,9.795526210E0
2.425008250E0,-9.969268799E-2,1.369651794E-1,9.795330505E0,9.796795282E0
2.434989250E0,-9.265731812E-2,1.393601990E-1,9.794432373E0,9.795861991E0
2.444970250E0,-9.819580078E-2,1.416055298E-1,9.790690155E0,9.792206506E0
2.454952250E0,-1.014889526E-1,1.447489929E-1,9.801617432E0,9.803211543E0
2.464933250E0,-9.205856323E-2,1.369651794E-1,9.805509338E0,9.806897961E0
2.474914250E0,-9.310638428E-2,1.484912109E-1,9.804311829E0,9.805878281E0
2.484895250E0,-8.861572266E-2,1.420545959E-1,9.801467743E0,9.802897642E0
2.494876250E0,-9.654922485E-2,1.420545959E-1,9.795629883E0,9.797135605E0
2.504858250E0,-9.460327148E-2,1.431024170E-1,9.792336731E0,9.793839223E0
2.514839250E0,-9.101074219E-2,1.290316772E-1,9.801467743E0,9.802739517E0
2.524820250E0,-9.864486694E-2,1.377136230E-1,9.790091400E0,9.791556846E0
2.534801250E0,-9.580078125E-2,1.477427673E-1,9.802515564E0,9.804096955E0
2.544783250E0,-9.355545044E-2,1.517843628E-1,9.807455292E0,9.809075921E0
2.554764250E0,-9.535171509E-2,1.456471252E-1,9.798773346E0,9.800319593E0
2.564745250E0,-9.834548950E-2,1.396595764E-1,9.797725525E0,9.799214361E0
2.574726250E0,-8.981323242E-2,1.404080200E-1,9.795031128E0,9.796449134E0
2.584708250E0,-9.879455566E-2,1.389111328E-1,9.798324280E0,9.799806904E0
2.594689250E0,-9.774673462E-2,1.326242065E-1,9.806856537E0,9.808240349E0
2.604670250E0,-9.535171509E-2,1.402583313E-1,9.809101868E0,9.810567965E0
2.614651250E0,-9.490264893E-2,1.477427673E-1,9.796528015E0,9.798101632E0
2.624633250E0,-9.924362183E-2,1.419049072E-1,9.798773346E0,9.800303331E0
2.634614250E0,-9.295669556E-2,1.317260742E-1,9.791288910E0,9.792616158E0
2.644595250E0,-9.190887451E-2,1.353186035E-1,9.805060272E0,9.806424695E0
2.654576250E0,-9.580078125E-2,1.422042847E-1,9.797426147E0,9.798926419E0
2.664557250E0,-9.729766846E-2,1.323248291E-1,9.804461517E0,9.805837157E0
2.674539250E0,-9.684860229E-2,1.366658020E-1,9.800120544E0,9.801551912E0
2.684520250E0,-9.340576172E-2,1.344204712E-1,9.806557159E0,9.807923166E0
2.694501250E0,-9.325607300E-2,1.359173584E-1,9.802515564E0,9.803901346E0
2.704482250E0,-1.016386414E-1,1.487905884E-1,9.800868988E0,9.802525286E0
2.714464250E0,-9.190887451E-2,1.395098877E-1,9.820328522E0,9.821749464E0
2.724445250E0,-1.022373962E-1,1.345701599E-1,9.801767120E0,9.803223975E0
2.734426250E0,-1.007405090E-1,1.396595764E-1,9.797575836E0,9.799089025E0
2.744407250E0,-9.774673462E-2,1.383123779E-1,9.811945953E0,9.813407570E0
2.754389250E0,-9.325607300E-2,1.414558411E-1,9.805209961E0,9.806673688E0
2.764370250E0,-8.412506104E-2,1.381626892E-1,9.800719299E0,9.802054108E0
2.774351250E0,-9.175918579E-2,1.392105103E-1,9.796228638E0,9.797647413E0
2.784332250E0,-9.580078125E-2,1.466949463E-1,9.806108093E0,9.807673176E0
2.794314250E0,-9.819580078E-2,1.416055298E-1,9.814640350E0,9.816153001E0
2.804295250E0,-1.032852173E-1,1.354682922E-1,9.803862762E0,9.805342654E0
2.814276250E0,-9.639953613E-2,1.378633118E-1,9.810000000E0,9.811442257E0
2.824257250E0,-9.101074219E-2,1.378633118E-1,9.814340973E0,9.815731149E0
2.834239250E0,-8.906478882E-2,1.407073975E-1,9.798324280E0,9.799739272E0
2.844220250E0,-1.064286804E-1,1.420545959E-1,9.803114319E0,9.804721155E0
2.854201250E0,-1.019380188E-1,1.381626892E-1,9.800120544E0,9.801624507E0
2.864182250E0,-9.445358276E-2,1.396595764E-1,9.810149689E0,9.811598401E0
2.874163250E0,-9.759704590E-2,1.335223389E-1,9.801767120E0,9.803162351E0
2.884145250E0,-1.010398865E-1,1.410067749E-1,9.801767120E0,9.803302028E0
2.894126250E0,-8.981323242E-2,1.399589539E-1,9.808802490E0,9.810212088E0
2.904108417E0,-9.909393311E-2,1.371148682E-1,9.806557159E0,9.808016283E0
2.914089417E0,-1.083746338E-1,1.338217163E-1,9.805808716E0,9.807320627E0
2.924071417E0,-9.235794067E-2,1.371148682E-1,9.796378326E0,9.797773155E0
2.934052417E0,-9.505233765E-2,1.368154907E-1,9.796677704E0,9.798094073E0
2.944033417E0,-9.430389404E-2,1.369651794E-1,9.804162140E0,9.805572291E0
2.954014417E0,-9.295669556E-2,1.450483704E-1,9.808652802E0,9.810165634E0
2.963996417E0,-8.801696777E-2,1.410067749E-1,9.811197510E0,9.812605488E0
2.973977417E0,-9.505233765E-2,1.477427673E-1,9.811496887E0,9.813069552E0
2.983958417E0,-9.714797974E-2,1.386117554E-1,9.805958405E0,9.807419191E0
2.993939417E0,-8.996292114E-2,1.315763855E-1,9.810598755E0,9.811893477E0
3.003921417E0,-9.026229858E-2,1.326242065E-1,9.805958405E0,9.807270604E0
3.013902417E0,-9.924362183E-2,1.290316772E-1,9.813442841E0,9.814792859E0
3.023883417E0,-9.744735718E-2,1.417552185E-1,9.804461517E0,9.805970435E0
3.033864417E0,-9.774673462E-2,1.423539734E-1,9.803114319E0,9.804635099E0
3.043845417E0,-9.639953613E-2,1.362167358E-1,9.805509338E0,9.806929247E0
3.053827417E0,-9.385482788E-2,1.342707825E-1,9.800868988E0,9.802238025E0
3.063808417E0,-9.939331055E-2,1.431024170E-1,9.808952179E0,9.810499487E0
3.073789417E0,-9.071136475E-2,1.434017944E-1,9.807754669E0,9.809222409E0
3.083770417E0,-9.684860229E-2,1.456471252E-1,9.811197510E0,9.812756458E0
3.093752417E0,-9.894424438E-2,1.377136230E-1,9.794881439E0,9.796349188E0
3.103733417E0,-1.038839722E-1,1.466949463E-1,9.812993774E0,9.814639988E0
3.113714417E0,-9.909393311E-2,1.475930786E-1,9.807305603E0,9.808916684E0
